"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"WealthSimple Cash","","14/05/2025","McDonald's","Dépense Non Obligatoire: 👩‍🍳 Restaurant","Dépense Non Obligatoire","👩‍🍳 Restaurant","",42.91$,0.00$,"Reconciled"
"WealthSimple Cash","","14/05/2025","Poolbilliards Co","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",33.62$,0.00$,"Reconciled"
"WealthSimple Cash","","14/05/2025","Amazon","Dépense Non Obligatoire: 🛒 Amazon","Dépense Non Obligatoire","🛒 Amazon","",31.88$,0.00$,"Reconciled"
"WealthSimple Cash","","14/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",19.95$,0.00$,"Reconciled"
"WealthSimple Cash","","14/05/2025","Fairstone Tanguay","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",5.66$,0.00$,"Reconciled"
"WealthSimple Cash","","14/05/2025","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,42.91$,"Reconciled"
"Principal","","14/05/2025","Transfer : WealthSimple Cash","","","","",0.00$,80.00$,"Reconciled"
"WealthSimple CELI","","14/05/2025","Transfer : 🚨 Fonds d'urgence","","","","",0.00$,2000.00$,"Cleared"
"WealthSimple Cash","","12/05/2025","Prêt Katherine","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",370.40$,0.00$,"Reconciled"
"WealthSimple Cash","","12/05/2025","Zeroxbillia","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",28.99$,0.00$,"Reconciled"
"WealthSimple Cash","","12/05/2025","Zeroxbillia Ze","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",28.99$,0.00$,"Reconciled"
"WealthSimple Cash","","12/05/2025","Google One","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",3.21$,0.00$,"Reconciled"
"WealthSimple Cash","","11/05/2025","Web Courses","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",33.34$,0.00$,"Reconciled"
"WealthSimple Cash","","11/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",19.95$,0.00$,"Reconciled"
"WealthSimple Cash","","11/05/2025","Amazon","Dépense Non Obligatoire: 🛒 Amazon","Dépense Non Obligatoire","🛒 Amazon","",12.64$,0.00$,"Reconciled"
"WealthSimple Cash","","10/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",30.77$,0.00$,"Reconciled"
"WealthSimple Cash","","10/05/2025","Patreon","Abonnement: Patreon","Abonnement","Patreon","",17.82$,0.00$,"Reconciled"
"WealthSimple Cash","","10/05/2025","YouTube Premium","Abonnement: Youtube Premium","Abonnement","Youtube Premium","",14.94$,0.00$,"Reconciled"
"WealthSimple Cash","","09/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",19.95$,0.00$,"Reconciled"
"WealthSimple Cash","","09/05/2025","X.","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",13.10$,0.00$,"Reconciled"
"WealthSimple Cash","","08/05/2025","WealthSimple interet","Inflow: Ready to Assign","Inflow","Ready to Assign","",3.27$,0.00$,"Reconciled"
"WealthSimple Cash","","08/05/2025","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,787.49$,"Reconciled"
"🚨 Fonds d'urgence","","07/05/2025","Chomage","Dépense Obligatoire: 🍁 Chomage","Dépense Obligatoire","🍁 Chomage","",500.00$,0.00$,"Cleared"
"WealthSimple Cash","","07/05/2025","Affirm","Dépense Obligatoire: Tire","Dépense Obligatoire","Tire","",61.39$,0.00$,"Reconciled"
"WealthSimple Cash","","07/05/2025","WealthSimple interet","Inflow: Ready to Assign","Inflow","Ready to Assign","",29.41$,0.00$,"Reconciled"
"WealthSimple Cash","","07/05/2025","Amazon Prime","Abonnement: Amazon Prime","Abonnement","Amazon Prime","",11.49$,0.00$,"Reconciled"
"WealthSimple Cash","","06/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",17.45$,0.00$,"Reconciled"
"WealthSimple Cash","","05/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",222.97$,0.00$,"Reconciled"
"WealthSimple Cash","","05/05/2025","Affirm","Dépense Obligatoire: Ordi PL","Dépense Obligatoire","Ordi PL","",125.76$,0.00$,"Reconciled"
"WealthSimple Cash","","05/05/2025","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",24.12$,0.00$,"Reconciled"
"WealthSimple Cash","","04/05/2025","WealthSimple interet","Inflow: Ready to Assign","Inflow","Ready to Assign","",36.70$,0.00$,"Reconciled"
"WealthSimple Cash","","04/05/2025","WealthSimple interet","Inflow: Ready to Assign","Inflow","Ready to Assign","",4.90$,0.00$,"Reconciled"
"WealthSimple Cash","","03/05/2025","Maxi Port Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",81.01$,0.00$,"Reconciled"
"WealthSimple Cash","","03/05/2025","McDonald's","Dépense Non Obligatoire: 👩‍🍳 Restaurant","Dépense Non Obligatoire","👩‍🍳 Restaurant","",36.62$,0.00$,"Reconciled"
"WealthSimple Cash","","03/05/2025","IGA Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",18.43$,0.00$,"Reconciled"
"WealthSimple Cash","","03/05/2025","Amazon","Dépense Non Obligatoire: 🛒 Amazon","Dépense Non Obligatoire","🛒 Amazon","",11.46$,0.00$,"Reconciled"
"🚨 Fonds d'urgence","","03/05/2025","WealthSimple interet","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,17.74$,"Cleared"
"WealthSimple Cash","","02/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","",161.84$,0.00$,"Reconciled"
"WealthSimple Cash","","02/05/2025","Affirm","Dépense Obligatoire: Affirm","Dépense Obligatoire","Affirm","",38.80$,0.00$,"Reconciled"
"WealthSimple Cash","","02/05/2025","Mic","Abonnement: IPTV","Abonnement","IPTV","",35.00$,0.00$,"Reconciled"
"WealthSimple Cash","","01/05/2025","Amazon","Dépense Non Obligatoire: 🛒 Amazon","Dépense Non Obligatoire","🛒 Amazon","",38.99$,0.00$,"Reconciled"
"WealthSimple Cash","","01/05/2025","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,2.07$,"Reconciled"
"🚨 Fonds d'urgence","","01/05/2025","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,6.49$,"Cleared"
"WealthSimple Cash","","01/05/2025","Money transfer sent to /Katherine /Je t'aime","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",0.00$,53.00$,"Reconciled"
"WealthSimple Cash","","01/05/2025","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,871.88$,"Reconciled"
"WealthSimple Cash","","30/04/2025","Government of Canada","Hidden Categories: Impot","Hidden Categories","Impot","",641.45$,0.00$,"Reconciled"
"WealthSimple Cash","","30/04/2025","Money transfer sent to /Papa /","Dépense Obligatoire: 🏠 Loyer","Dépense Obligatoire","🏠 Loyer","",600.00$,0.00$,"Reconciled"
"WealthSimple Cash","","30/04/2025","Beneva","Dépense Obligatoire: 🏚️ Assurance Maison","Dépense Obligatoire","🏚️ Assurance Maison","",234.35$,0.00$,"Reconciled"
"WealthSimple Cash","","30/04/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",19.95$,0.00$,"Reconciled"
"Principal","","30/04/2025","Fixed service charges","Dépense Obligatoire: 🏦 Frais Desjardins","Dépense Obligatoire","🏦 Frais Desjardins","",15.95$,0.00$,"Reconciled"
"Principal","","30/04/2025","Overdraft Interest Charges","Dépense Irrégulière: 🤌 Frais et Interet","Dépense Irrégulière","🤌 Frais et Interet","",0.03$,0.00$,"Reconciled"
"WealthSimple Cash","","29/04/2025","Patreon","Abonnement: Patreon","Abonnement","Patreon","",8.01$,0.00$,"Reconciled"
"WealthSimple Cash","","29/04/2025","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,440.00$,"Reconciled"
"Principal","","28/04/2025","Payment /DELL FINANCIAL SERVICES","Dépense Obligatoire: 🖥️ Dell","Dépense Obligatoire","🖥️ Dell","",15.00$,0.00$,"Reconciled"
"WealthSimple Cash","","27/04/2025","Irving Port-Cartier","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","",90.87$,0.00$,"Reconciled"
"WealthSimple Cash","","26/04/2025","YNAB","Abonnement: YNAB","Abonnement","YNAB","",20.88$,0.00$,"Reconciled"
"WealthSimple Cash","","25/04/2025","Money transfer sent to /Katherine /Je t'aime","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",200.94$,0.00$,"Reconciled"
"WealthSimple Cash","","25/04/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",169.18$,0.00$,"Reconciled"
"WealthSimple Cash","","25/04/2025","Money transfer sent to /Katherine /Je t'aime","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",26.82$,0.00$,"Reconciled"
"WealthSimple Cash","","25/04/2025","Amazon Kindle Services","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",26.43$,0.00$,"Reconciled"
"WealthSimple Cash","","24/04/2025","Steam","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",32.18$,0.00$,"Reconciled"
"WealthSimple Cash","","24/04/2025","Flippinguti Fl","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",7.24$,0.00$,"Reconciled"
"WealthSimple Cash","","24/04/2025","Depanneur Pentecote","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",6.53$,0.00$,"Reconciled"
"WealthSimple Cash","","24/04/2025","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,905.76$,"Reconciled"
"WealthSimple Cash","","22/04/2025","Irving Port-Cartier","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","",74.84$,0.00$,"Reconciled"
"🚨 Fonds d'urgence","","21/04/2025","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",640.00$,0.00$,"Reconciled"
"WealthSimple Cash","","21/04/2025","Transfer : Classique Visa Desjardins","","","","",401.12$,0.00$,"Reconciled"
"WealthSimple Cash","","21/04/2025","Bell","Dépense Obligatoire: 📱 Cellulaire","Dépense Obligatoire","📱 Cellulaire","",104.35$,0.00$,"Reconciled"
"WealthSimple Cash","","21/04/2025","Transfer : Principal","","","","",100.00$,0.00$,"Reconciled"
